,0,id
，,130012,1
的,74579,2
不,42657,3
。,39141,4
是,35478,5
了,34635,6
 ,32666,7
吃,31654,8
好,31353,9
很,31171,10
一,31070,11
有,23474,12
味,21542,13
还,20779,14
点,19855,15
！,17716,16
也,16748,17
来,15935,18
道,14668,19
错,14606,20
个,14103,21
菜,13695,22
就,13209,23
这,12185,24
服,11833,25
人,11804,26
家,11467,27
务,11254,28
都,11038,29
我,11016,30
多,10854,31
以,10729,32
上,10552,33
面,9966,34
没,9846,35
店,9770,36
可,9438,37
小,9430,38
大,9423,39
去,9165,40
肉,9062,41
口,8895,42
次,8781,43
在,8537,44
下,8218,45
到,8166,46
过,8011,47
和,7725,48
里,7520,49
比,7516,50
会,6791,51
要,6579,52
餐,6297,53
感,6289,54
说,5983,55
鲜,5978,56
牛,5953,57
…,5926,58
觉,5880,59
得,5694,60
鱼,5651,61
环,5528,62
境,5488,63
价,5398,64
后,5364,65
子,5312,66
么,5293,67
太,5231,68
时,5114,69
员,5113,70
但,5053,71
饭,5027,72
喜,4969,73
～,4954,74
常,4942,75
新,4832,76
.,4690,77
特,4684,78
看,4679,79
品,4676,80
们,4637,81
欢,4585,82
最,4455,83
真,4407,84
中,4383,85
般,4367,86
天,4230,87
心,4216,88
虾,4100,89
较,4084,90
开,4007,91
排,3973,92
然,3947,93
他,3943,94
辣,3938,95
实,3929,96
能,3897,97
挺,3896,98
量,3835,99
鸡,3823,100
0,3792,101
香,3761,102
那,3747,103
老,3747,104
锅,3738,105
甜,3705,106
?,3685,107
意,3648,108
度,3617,109
果,3610,110
再,3599,111
非,3594,112
别,3573,113
生,3558,114
想,3512,115
汤,3507,116
地,3443,117
位,3412,118
料,3386,119
1,3384,120
为,3383,121
两,3364,122
海,3343,123
其,3204,124
只,3184,125
烤,3176,126
哈,3140,127
、,3133,128
蛮,3089,129
前,3074,130
种,3067,131
吧,3063,132
外,3062,133
包,3034,134
算,3031,135
格,3012,136
油,2959,137
三,2957,138
着,2949,139
少,2918,140
色,2886,141
热,2861,142
推,2857,143
分,2839,144
食,2815,145
2,2797,146
满,2763,147
西,2743,148
用,2739,149
赞,2693,150
美,2689,151
份,2686,152
加,2675,153
午,2669,154
完,2667,155
超,2639,156
起,2637,157
友,2628,158
样,2606,159
几,2603,160
本,2580,161
荐,2575,162
单,2566,163
茶,2554,164
出,2545,165
直,2544,166
等,2537,167
高,2508,168
水,2485,169
买,2438,170
豆,2431,171
自,2416,172
什,2412,173
方,2411,174
蛋,2407,175
之,2402,176
便,2391,177
经,2389,178
而,2362,179
正,2351,180
朋,2344,181
现,2330,182
足,2321,183
啊,2298,184
态,2290,185
东,2279,186
评,2276,187
总,2276,188
又,2261,189
喝,2256,190
酱,2245,191
奶,2227,192
爱,2225,193
对,2218,194
合,2207,195
第,2205,196
所,2201,197
选,2182,198
体,2179,199
性,2167,200
给,2152,201
冰,2143,202
试,2125,203
候,2115,204
棒,2106,205
龙,2104,206
路,2092,207
干,2091,208
8,2052,209
每,2050,210
花,2034,211
差,2027,212
情,2016,213
做,1985,214
嫩,1984,215
尝,1980,216
近,1972,217
配,1970,218
头,1968,219
于,1956,220
~,1939,221
火,1939,222
烧,1927,223
酸,1925,224
惠,1899,225
日,1889,226
5,1868,227
米,1853,228
送,1848,229
间,1842,230
拉,1837,231
因,1805,232
行,1788,233
些,1779,234
3,1761,235
如,1743,236
打,1740,237
门,1735,238
带,1726,239
糕,1724,240
元,1715,241
边,1695,242
块,1693,243
套,1691,244
定,1690,245
清,1690,246
周,1669,247
无,1652,248
粉,1643,249
汁,1635,250
进,1628,251
气,1614,252
快,1605,253
队,1601,254
入,1599,255
全,1592,256
桌,1592,257
像,1585,258
知,1574,259
贵,1569,260
式,1568,261
哦,1560,262
适,1547,263
晚,1547,264
且,1535,265
主,1516,266
楼,1506,267
团,1491,268
话,1488,269
装,1468,270
放,1467,271
皮,1456,272
半,1455,273
咖,1455,274
动,1454,275
你,1441,276
当,1425,277
板,1418,278
更,1418,279
厅,1416,280
才,1410,281
二,1410,282
客,1406,283
调,1400,284
：,1393,285
发,1384,286
饮,1382,287
脆,1374,288
光,1371,289
片,1367,290
啦,1365,291
底,1362,292
浓,1350,293
红,1347,294
级,1344,295
羊,1338,296
猪,1332,297
咸,1329,298
久,1325,299
今,1322,300
年,1319,301
？,1314,302
盘,1314,303
值,1312,304
重,1311,305
同,1300,306
应,1287,307
酒,1286,308
蟹,1286,309
黄,1280,310
五,1260,311
提,1245,312
望,1244,313
手,1236,314
回,1230,315
坐,1226,316
购,1221,317
炒,1217,318
力,1214,319
理,1211,320
让,1210,321
e,1208,322
够,1207,323
草,1204,324
条,1201,325
芝,1199,326
找,1196,327
杯,1196,328
淡,1194,329
金,1184,330
饼,1183,331
已,1182,332
士,1177,333
腻,1175,334
6,1167,335
原,1165,336
己,1157,337
费,1152,338
类,1151,339
四,1149,340
麻,1143,341
质,1138,342
宝,1136,343
十,1134,344
微,1134,345
4,1126,346
炸,1125,347
拿,1124,348
沙,1123,349
#,1121,350
作,1110,351
卖,1104,352
公,1102,353
场,1100,354
i,1098,355
号,1094,356
a,1082,357
蛙,1082,358
难,1079,359
叫,1075,360
相,1074,361
明,1071,362
牌,1067,363
优,1060,364
虽,1057,365
风,1056,366
净,1055,367
结,1053,368
走,1050,369
问,1047,370
整,1039,371
跟,1034,372
必,1024,373
该,1022,374
事,1019,375
接,1018,376
o,1013,377
白,1011,378
择,1008,379
空,1005,380
饱,1005,381
儿,1000,382
置,998,383
串,998,384
偏,997,385
工,992,386
早,990,387
爽,974,388
刚,973,389
鸭,959,390
聚,958,391
丝,947,392
国,947,393
名,946,394
南,942,395
顾,935,396
修,933,397
司,930,398
长,926,399
基,920,400
星,918,401
9,915,402
活,914,403
椒,905,404
身,902,405
腐,900,406
骨,898,407
呢,897,408
招,893,409
先,886,410
换,884,411
物,875,412
怎,869,413
倒,862,414
附,854,415
宜,850,416
帮,850,417
随,848,418
文,848,419
碗,848,420
王,837,421
【,837,422
】,835,423
冷,830,424
材,823,425
肥,819,426
成,816,427
；,812,428
黑,807,429
啡,800,430
钱,796,431
内,792,432
酥,791,433
拼,790,434
被,786,435
女,779,436
越,776,437
各,775,438
糖,775,439
关,773,440
电,772,441
慢,766,442
通,763,443
n,758,444
把,755,445
速,754,446
泡,740,447
车,735,448
瓜,734,449
7,733,450
-,732,451
券,732,452
s,723,453
）,722,454
软,721,455
记,720,456
划,718,457
层,718,458
厚,713,459
菇,713,460
切,707,461
座,707,462
根,706,463
机,706,464
折,705,465
（,696,466
肚,694,467
蔬,692,468
克,676,469
台,676,470
妈,675,471
确,675,472
土,675,473
精,670,474
收,666,475
从,664,476
约,663,477
钟,661,478
掉,659,479
略,657,480
失,655,481
众,650,482
照,647,483
平,646,484
惊,645,485
拌,644,486
末,644,487
巧,644,488
象,644,489
另,643,490
张,639,491
铁,638,492
法,638,493
安,638,494
受,630,495
往,629,496
寿,624,497
始,619,498
乐,616,499
刺,612,500
见,611,501
助,610,502
喱,609,503
简,609,504
停,608,505
居,607,506
解,606,507
宗,605,508
萨,604,509
部,603,510
它,602,511
舒,600,512
离,599,513
t,597,514
市,596,515
听,595,516
百,595,517
反,589,518
马,589,519
茄,588,520
需,588,521
希,585,522
绝,583,523
业,583,524
肠,582,525
糯,581,526
流,579,527
凉,578,528
期,577,529
致,574,530
拔,574,531
她,571,532
商,568,533
拍,567,534
丸,567,535
h,564,536
",",564,537
似,563,538
处,562,539
胃,561,540
c,561,541
待,561,542
r,558,543
竟,556,544
卷,555,545
除,555,546
字,554,547
贝,553,548
功,553,549
莲,552,550
雪,551,551
既,551,552
预,550,553
稍,549,554
制,549,555
芒,547,556
鹅,546,557
免,540,558
哥,540,559
班,536,560
亲,533,561
披,530,562
榴,529,563
萝,526,564
乎,525,565
容,525,566
粥,525,567
利,524,568
卡,523,569
熟,523,570
煎,521,571
霸,520,572
伴,517,573
薄,513,574
月,513,575
并,507,576
极,506,577
郁,506,578
松,505,579
房,505,580
山,503,581
广,503,582
谢,503,583
连,503,584
伙,502,585
线,500,586
眼,500,587
爆,497,588
区,496,589
堂,494,590
亮,494,591
淋,494,592
细,493,593
计,493,594
素,493,595
番,488,596
哒,485,597
港,484,598
蒸,483,599
馆,481,600
旁,481,601
青,480,602
煮,479,603
劲,477,604
怪,477,605
表,476,606
六,476,607
呀,474,608
忙,473,609
腿,473,610
北,471,611
改,470,612
强,465,613
仁,465,614
忘,464,615
肝,462,616
搭,460,617
薯,459,618
韩,458,619
孩,458,620
建,458,621
节,457,622
p,456,623
啥,455,624
布,455,625
滑,454,626
双,453,627
化,453,628
巴,451,629
硬,449,630
厨,448,631
惜,447,632
付,445,633
信,445,634
静,444,635
泰,443,636
翅,442,637
夏,441,638
续,438,639
消,433,640
蒜,430,641
普,428,642
丰,428,643
蜜,427,644
议,427,645
l,426,646
及,425,647
题,424,648
仔,423,649
图,423,650
煲,423,651
八,422,652
娘,421,653
奇,421,654
激,421,655
盐,421,656
淇,419,657
毛,417,658
聊,417,659
温,416,660
贴,416,661
饺,414,662
远,414,663
终,412,664
准,410,665
款,410,666
代,409,667
江,407,668
系,404,669
念,400,670
木,399,671
逛,397,672
富,397,673
印,396,674
影,394,675
球,392,676
或,390,677
玩,390,678
云,389,679
靠,389,680
妹,388,681
学,388,682
呵,388,683
隔,386,684
抹,386,685
冬,385,686
验,383,687
段,383,688
城,383,689
u,381,690
网,380,691
吗,380,692
铺,379,693
规,379,694
嘛,378,695
舌,377,696
阿,376,697
显,376,698
葱,375,699
住,372,700
者,372,701
角,372,702
变,371,703
艳,371,704
概,370,705
左,368,706
弹,367,707
柠,365,708
冲,363,709
堡,363,710
至,362,711
尤,362,712
此,360,713
右,360,714
货,360,715
),359,716
(,358,717
梅,358,718
菠,358,719
师,357,720
告,357,721
椰,357,722
嘴,356,723
首,355,724
福,355,725
斤,355,726
汉,353,727
圈,353,728
管,353,729
^,352,730
凌,351,731
估,351,732
办,351,733
露,349,734
盆,348,735
端,347,736
均,347,737
死,345,738
烫,345,739
”,343,740
搞,342,741
“,342,742
馄,342,743
杂,340,744
顿,338,745
思,338,746
饨,337,747
!,336,748
由,335,749
营,333,750
求,333,751
易,333,752
泥,333,753
冻,331,754
赶,330,755
请,329,756
m,329,757
嚼,328,758
传,327,759
抽,327,760
川,327,761
围,327,762
街,327,763
夜,326,764
却,325,765
石,325,766
爸,324,767
撑,322,768
吸,321,769
决,319,770
蘸,319,771
绿,316,772
康,315,773
保,315,774
貌,314,775
低,312,776
达,312,777
麦,312,778
唯,312,779
哪,311,780
肯,310,781
乳,310,782
丁,310,783
兴,309,784
深,309,785
千,309,786
盖,308,787
据,308,788
具,307,789
七,305,790
血,305,791
饿,305,792
纸,304,793
y,302,794
莓,301,795
数,300,796
浆,300,797
爪,300,798
认,299,799
b,299,800
粒,299,801
腥,299,802
叉,298,803
雅,297,804
滴,295,805
站,294,806
幸,294,807
馅,293,808
筋,293,809
_,293,810
写,291,811
菌,290,812
银,290,813
民,290,814
支,290,815
雨,290,816
即,288,817
檬,287,818
健,287,819
许,286,820
d,286,821
闺,285,822
园,285,823
鳗,284,824
罗,284,825
程,283,826
男,283,827
咬,283,828
笋,282,829
吵,281,830
限,279,831
矩,279,832
论,279,833
留,279,834
姐,279,835
壁,279,836
g,277,837
订,276,838
婆,275,839
介,275,840
顺,275,841
继,274,842
旺,273,843
+,272,844
苦,270,845
烟,270,846
焦,270,847
挑,270,848
景,269,849
备,269,850
古,268,851
笑,267,852
减,266,853
考,266,854
Q,265,855
摆,265,856
票,265,857
依,265,858
卫,264,859
芥,264,860
毕,263,861
啤,263,862
颜,263,863
娃,262,864
f,262,865
脚,261,866
叶,261,867
汇,261,868
何,260,869
k,260,870
与,259,871
z,258,872
交,258,873
音,258,874
取,257,875
胡,257,876
:,257,877
w,256,878
烂,256,879
跑,255,880
绍,253,881
️,251,882
万,251,883
须,250,884
尔,250,885
京,249,886
醋,249,887
卜,248,888
旧,248,889
型,248,890
洋,248,891
断,246,892
窗,245,893
供,245,894
专,245,895
盒,244,896
夹,242,897
玉,242,898
享,241,899
乌,240,900
纯,240,901
华,240,902
偶,239,903
共,239,904
创,239,905
颗,239,906
统,239,907
良,238,908
笼,238,909
持,235,910
讲,234,911
桥,234,912
春,234,913
独,233,914
腩,233,915
遍,233,916
O,232,917
运,231,918
吐,230,919
姨,230,920
键,227,921
帅,227,922
醉,227,923
紫,227,924
注,225,925
飞,225,926
目,224,927
紧,224,928
/,223,929
圆,223,930
B,222,931
捞,222,932
醒,221,933
领,221,934
漂,221,935
苏,218,936
属,218,937
催,217,938
典,217,939
言,216,940
股,216,941
惯,215,942
還,215,943
河,215,944
培,214,945
示,213,946
鱿,212,947
账,212,948
声,212,949
蚝,212,950
瓶,212,951
怕,211,952
九,211,953
引,211,954
點,211,955
芋,210,956
=,210,957
扇,210,958
码,210,959
桃,209,960
挤,208,961
突,207,962
糊,207,963
乱,206,964
來,206,965
充,205,966
佳,205,967
潮,204,968
落,202,969
哟,202,970
脸,202,971
休,202,972
牙,199,973
扣,199,974
闹,199,975
形,199,976
阴,198,977
室,198,978
蓝,198,979
转,198,980
丽,197,981
烈,197,982
弄,196,983
昨,196,984
蹄,194,985
响,194,986
宽,193,987
补,193,988
使,193,989
养,193,990
枪,193,991
撒,192,992
炖,191,993
缺,190,994
临,189,995
参,189,996
兰,188,997
季,188,998
语,188,999
混,187,1000
庆,187,1001
镇,187,1002
胜,186,1003
虹,185,1004
扫,184,1005
浇,184,1006
指,184,1007
破,184,1008
蛤,183,1009
州,183,1010
皇,182,1011
怀,181,1012
粗,181,1013
步,181,1014
氛,181,1015
按,181,1016
姑,180,1017
散,180,1018
暗,180,1019
阳,179,1020
神,179,1021
趁,179,1022
否,179,1023
户,178,1024
墨,178,1025
浦,178,1026
复,177,1027
碎,177,1028
灯,177,1029
轻,176,1030
称,176,1031
浪,175,1032
沾,175,1033
K,175,1034
设,175,1035
任,175,1036
壳,175,1037
梦,174,1038
造,173,1039
凤,173,1040
梯,173,1041
立,173,1042
标,173,1043
湾,172,1044
斯,171,1045
耐,171,1046
剩,170,1047
句,170,1048
猫,170,1049
刻,170,1050
螺,169,1051
涮,169,1052
额,168,1053
档,168,1054
鲍,168,1055
P,168,1056
某,167,1057
杨,167,1058
冒,167,1059
虑,167,1060
墙,166,1061
绵,166,1062
息,166,1063
洗,166,1064
敢,166,1065
敞,166,1066
视,166,1067
洁,165,1068
尚,165,1069
尽,165,1070
瘾,165,1071
吞,164,1072
观,164,1073
脑,164,1074
章,164,1075
搜,163,1076
⋯,163,1077
刷,162,1078
增,161,1079
欲,161,1080
彩,161,1081
积,160,1082
耳,159,1083
习,159,1084
跳,159,1085
卤,158,1086
礼,158,1087
透,157,1088
担,156,1089
秋,156,1090
添,156,1091
尾,156,1092
宵,156,1093
芙,156,1094
针,155,1095
陆,155,1096
虎,155,1097
胖,155,1098
诉,155,1099
齐,154,1100
退,154,1101
波,154,1102
坏,153,1103
际,153,1104
宁,152,1105
忍,152,1106
赠,152,1107
挞,151,1108
密,151,1109
游,151,1110
哎,151,1111
烦,150,1112
這,150,1113
翻,150,1114
懂,150,1115
胆,149,1116
德,149,1117
M,148,1118
盛,148,1119
亚,148,1120
灵,146,1121
廉,146,1122
碟,146,1123
世,146,1124
恶,146,1125
鸳,146,1126
鸯,146,1127
咯,145,1128
将,145,1129
腾,145,1130
庭,145,1131
夫,145,1132
竹,144,1133
椅,143,1134
愿,142,1135
嘿,142,1136
臭,142,1137
桂,142,1138
况,141,1139
蘑,141,1140
产,141,1141
咋,141,1142
证,140,1143
漏,139,1144
遇,139,1145
列,139,1146
碰,139,1147
榨,138,1148
余,138,1149
A,138,1150
鸽,138,1151
趣,137,1152
馋,137,1153
颈,137,1154
符,136,1155
糟,136,1156
酪,136,1157
则,136,1158
演,136,1159
故,136,1160
答,135,1161
奥,135,1162
童,135,1163
歌,134,1164
甘,134,1165
珍,134,1166
异,133,1167
吊,132,1168
瘦,132,1169
藕,132,1170
珠,132,1171
导,132,1172
轮,131,1173
炉,131,1174
蓉,131,1175
涨,130,1176
抓,129,1177
林,128,1178
杏,128,1179
鳕,128,1180
悦,128,1181
屋,128,1182
济,128,1183
谈,127,1184
懒,127,1185
*,127,1186
田,126,1187
欧,126,1188
粘,125,1189
裹,125,1190
畅,125,1191
嗲,125,1192
],125,1193
[,124,1194
谁,124,1195
